Name,Variation,DIY,Buy,Sell,Source,Source Notes,Catalog,Tab,Tag,Customize,Cyrus,Image,HHP Source
Mama bear,"['Cream', 'Cream + Red stripes', 'Cream + Blue stripes', 'Cream + Yellow stripes', 'Caramel mocha', 'Caramel mocha + Red stripes', 'Caramel mocha + Blue stripes', 'Caramel mocha + Yellow stripes', 'Choco', 'Choco + Red stripes', 'Choco + Blue stripes', 'Choco + Yellow stripes', 'Floral', 'Floral + Red stripes', 'Floral + Blue stripes', 'Floral + Yellow stripes', 'Checkered', 'Checkered + Red stripes', 'Checkered + Blue stripes', 'Checkered + Yellow stripes', 'Tweed', 'Tweed + Red stripes', 'Tweed + Blue stripes', 'Tweed + Yellow stripes']",False,2300,575,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Animal,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_0_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_0_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_0_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_1_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_1_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_1_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_2_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_2_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_2_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_3_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_3_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_3_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_4_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_4_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_4_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_5_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_5_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_5_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearM_Remake_5_3.png']","['Megan', 'Olivia', 'Maple', 'Stitches', 'Drago', 'Daisy', 'Chai', 'Sherb', 'Rilla', 'Melba', 'Marcie', 'Bree', 'Flora', 'Wade', 'Pancetti', 'Bunnie', 'Vesta', 'Willow', 'Étoile', 'Poppy', 'Bangle']"
Mama panda,,False,3500,875,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Animal,False,False,https://nh-cdn.catalogue.ac/FtrIcon/FtrPandaM.png,"['Pinky', 'Maple', 'Pekoe', 'Chai', 'Cousteau', 'Roscoe', 'Queenie', 'Poppy', 'Bangle']"
Mr. Flamingo,"['Natural', 'White']",False,3000,750,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Animal,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrFlamingoMale_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrFlamingoMale_Remake_1_0.png']","['Tangy', 'Plucky', 'Drago', 'Bubbles', 'Flora', ""O'Hare"", 'Poppy', 'Bangle', 'Cafe']"
Mrs. Flamingo,"['Natural', 'White']",False,3000,750,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Animal,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrFlamingoFemale_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrFlamingoFemale_Remake_1_0.png']","['Tangy', 'Plucky', 'Drago', 'Bubbles', 'Flora', ""O'Hare"", 'Poppy', 'Bangle', 'Cafe']"
Papa bear,"['Cream', 'Cream + Red', 'Cream + Blue', 'Cream + Yellow', 'Caramel mocha', 'Caramel mocha + Red', 'Caramel mocha + Blue', 'Caramel mocha + Yellow', 'Choco', 'Choco + Red', 'Choco + Blue', 'Choco + Yellow', 'Floral', 'Floral + Red', 'Floral + Blue', 'Floral + Yellow', 'Checkered', 'Checkered + Red', 'Checkered + Blue', 'Checkered + Yellow', 'Tweed', 'Tweed + Red', 'Tweed + Blue', 'Tweed + Yellow']",False,8500,2125,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",For sale,housewares,Animal,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_0_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_0_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_0_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_1_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_1_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_1_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_2_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_2_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_2_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_3_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_3_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_3_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_4_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_4_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_4_3.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_5_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_5_1.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_5_2.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBearL_Remake_5_3.png']","['Maple', 'Stitches', 'Chai', 'Wade', 'Vesta', 'Poppy', 'Bangle']"
Papa panda,,False,8500,2125,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",For sale,housewares,Animal,False,False,https://nh-cdn.catalogue.ac/FtrIcon/FtrPandaL.png,"['Pinky', 'Maple', 'Pekoe', 'Chai', 'Puddles', 'Cousteau', 'Flora', 'Poppy', 'Bangle']"
birdcage,"['Brown', 'Pink', 'Blue', 'White', 'Black']",True,,960,Crafting,,Not for sale,housewares,Animal,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdcage_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdcage_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdcage_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdcage_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdcage_Remake_4_0.png']","['Grizzly', 'Megan', 'Robin', 'Rodeo', 'Moe', 'Chelsea', 'Gigi', 'Kidd', 'Bertha', 'Yuka', 'Pecan', 'Sally', 'Poppy', 'Cafe']"
birdhouse,"['Natural', 'Dark brown', 'Natural & white', 'Red & white', 'Blue', 'White']",True,,840,Crafting,,Not for sale,housewares,Animal,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdhouse_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdhouse_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdhouse_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdhouse_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdhouse_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrBirdhouse_Remake_5_0.png']","['Gayle', 'Papi']"
cat tower,"['Beige', 'Brown', 'Navy blue', 'Gray', 'Pink', 'White']",False,3000,750,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,For sale,housewares,Animal,False,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrCattower_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrCattower_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrCattower_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrCattower_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrCattower_Remake_4_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrCattower_Remake_5_0.png']","['Punchy', 'Vesta']"
doghouse,"['Natural', 'Green', 'Blue', 'Red', 'Black']",True,,2040,Crafting,,Not for sale,housewares,Animal,True,True,"['https://nh-cdn.catalogue.ac/FtrIcon/FtrDoghouse_Remake_0_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrDoghouse_Remake_1_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrDoghouse_Remake_2_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrDoghouse_Remake_3_0.png', 'https://nh-cdn.catalogue.ac/FtrIcon/FtrDoghouse_Remake_4_0.png']","['Anabelle', 'Ike', 'Admiral', 'Tipper', 'Butch', 'Benjamin', 'Papi', 'Sheldon', 'Bianca', 'Chief']"
